file,is_smelly,n_nodes,n_edges,avg_in_deg,avg_out_deg,avg_tot_deg,gini_in_deg,gini_out_deg,gini_tot_deg,hhi_in_deg,hhi_out_deg,hhi_tot_deg,maxdeg_share,top3deg_share,max_over_median_deg,centr_in_deg,centr_out_deg,centr_tot_deg,centr_betweenness,thr_mu_plus_sigma_deg,num_hubs_arcade,ratio_hubs_arcade,largest_scc_ratio
antlr4-hl-23-24-25_6962_0191_9263_628602d5.pt,1.0,16.0,53.0,3.3125,3.3125,6.625,0.5695754716981132,0.33372641509433965,0.4056603773584906,0.1854752580989676,0.11854752580989675,0.1269134923460306,0.27358490566037735,0.5377358490566038,7.249999981875,0.8311111111111111,0.8311111111111112,0.8523809523809524,0.7834920634920636,13.350650526157303,2.0,0.125,0.9375
commons-lang-hl-23-24-25_864_0694_7355_25386d71.pt,0.0,4.0,5.0,1.25,1.25,2.5,0.44999999999999996,0.44999999999999996,0.10000000000000009,0.44000000000000006,0.44000000000000006,0.26,0.3,0.8,1.1999999952,0.7777777777777778,0.7777777777777778,0.16666666666666669,0.0,3.0,0.0,0.0,0.25
opennlp-hl-23-24-25_3369_0086_2031_14e0e479.pt,1.0,40.0,224.0,5.6,5.6,11.2,0.6622767857142857,0.40535714285714286,0.39854910714285713,0.08737244897959184,0.05345184948979592,0.0480110012755102,0.13392857142857142,0.27901785714285715,8.571428559183673,0.6416831032215646,0.8783694937541093,0.6585695006747638,0.43626077026886745,21.945231500530827,6.0,0.15,0.55
antlr4-hl-23-24-25_6962_0118_9118_480a7a21.pt,1.0,16.0,53.0,3.3125,3.3125,6.625,0.5695754716981132,0.33372641509433965,0.4056603773584906,0.1854752580989676,0.11854752580989675,0.1269134923460306,0.27358490566037735,0.5377358490566038,7.249999981875,0.8311111111111111,0.8311111111111112,0.8523809523809524,0.7834920634920636,13.350650526157303,2.0,0.125,0.9375
commons-lang-hl-23-24-25_863_0388_7731_12fc8543.pt,1.0,11.0,26.0,2.3636363636363638,2.3636363636363638,4.7272727272727275,0.41258741258741255,0.5034965034965034,0.2622377622377623,0.14792899408284024,0.2071005917159764,0.1131656804733728,0.19230769230769232,0.46153846153846156,2.49999999375,0.5100000000000001,0.8400000000000001,0.32222222222222213,0.045,7.066305514594292,2.0,0.18181818181818182,0.09090909090909091
antlr4-hl-23-24-25_276_0079_9388_dee6265e.pt,1.0,26.0,146.0,5.615384615384615,5.615384615384615,11.23076923076923,0.4731296101159115,0.398840885142255,0.30663856691253955,0.06821167198348657,0.0669919309438919,0.05026740476637267,0.08904109589041095,0.23972602739726026,2.5999999974,0.3903999999999999,0.8064,0.32,0.20616444444444448,17.452985582790504,5.0,0.19230769230769232,0.4230769230769231
commons-lang-hl-23-24-25_265_0766_7444_5019cdbd.pt,0.0,5.0,12.0,2.4,2.4,4.8,0.2333333333333334,0.3,0.0833333333333334,0.23611111111111113,0.2638888888888889,0.2048611111111111,0.25,0.6666666666666666,1.1999999976,0.5,0.5,0.25,0.22916666666666669,5.548331477354788,1.0,0.2,0.8
commons-lang-hl-23-24-25_1739_0185_7954_118652d7.pt,1.0,12.0,39.0,3.25,3.25,6.5,0.38247863247863245,0.4423076923076923,0.2884615384615385,0.1295200525969757,0.15450361604207757,0.10552268244575937,0.15384615384615385,0.4358974358974359,1.9999999966666666,0.5702479338842976,0.7685950413223139,0.3,0.15950413223140494,9.854101966249685,3.0,0.25,0.5
commons-lang-hl-23-24-25_861_0055_7119_b5b90799.pt,0.0,5.0,11.0,2.2,2.2,4.4,0.3272727272727273,0.3272727272727273,0.054545454545454494,0.2727272727272727,0.2727272727272727,0.2024793388429752,0.22727272727272727,0.6363636363636364,1.249999996875,0.5625,0.5625,0.125,0.0625,4.889897948556636,2.0,0.4,0.6
opennlp-hl-23-24-25_1478_0012_2043_3224ff51.pt,1.0,24.0,98.0,4.083333333333333,4.083333333333333,8.166666666666666,0.41496598639455784,0.5025510204081632,0.3150510204081633,0.07621824239900041,0.0985006247396918,0.059089962515618495,0.12755102040816327,0.30612244897959184,4.166666659722222,0.6313799621928166,0.8582230623818525,0.3992094861660078,0.04365011170304176,13.44765983925162,3.0,0.125,0.125
opennlp-hl-23-24-25_1447_0213_2088_d455e330.pt,0.0,7.0,18.0,2.5714285714285716,2.5714285714285716,5.142857142857143,0.3968253968253968,0.44444444444444436,0.08730158730158724,0.21604938271604937,0.2345679012345679,0.14660493827160495,0.16666666666666666,0.5,1.1999999976,0.6666666666666666,0.6666666666666666,0.1,0.0,5.975850270692186,3.0,0.42857142857142855,0.14285714285714285
antlr4-hl-23-24-25_276_0085_9352_b486ce73.pt,0.0,26.0,146.0,5.615384615384615,5.615384615384615,11.23076923076923,0.4731296101159115,0.398840885142255,0.30663856691253955,0.06821167198348657,0.06699193094389191,0.050267404766372675,0.08904109589041095,0.23972602739726026,2.5999999974,0.39039999999999997,0.8064,0.32,0.20616444444444448,17.452985582790504,5.0,0.19230769230769232,0.4230769230769231
antlr4-hl-23-24-25_512_0429_9363_b3bb7439.pt,0.0,21.0,121.0,5.761904761904762,5.761904761904762,11.523809523809524,0.388823297914207,0.444706808343172,0.27823691460055094,0.07123830339457689,0.08353254559114817,0.058909910525237356,0.08677685950413223,0.24380165289256198,1.6153846141420118,0.38,0.7474999999999999,0.261842105263158,0.10205592105263157,17.135184430610103,5.0,0.23809523809523808,0.47619047619047616
opennlp-hl-23-24-25_953_0170_2024_ccdf0c2e.pt,1.0,23.0,102.0,4.434782608695652,4.434782608695652,8.869565217391305,0.5080988917306053,0.37254901960784315,0.31628303495311166,0.0922722029988466,0.0809304113802384,0.06156286043829297,0.11764705882352941,0.3284313725490196,3.4285714236734695,0.6446280991735539,0.8347107438016527,0.37662337662337675,0.17426702085793,14.589890138431056,3.0,0.13043478260869565,0.34782608695652173
opennlp-hl-23-24-25_953_0177_2086_186ecf92.pt,1.0,23.0,102.0,4.434782608695652,4.434782608695652,8.869565217391305,0.5080988917306053,0.37254901960784315,0.31628303495311166,0.09227220299884661,0.08093041138023839,0.06156286043829297,0.11764705882352941,0.3284313725490196,3.4285714236734695,0.6446280991735539,0.834710743801653,0.37662337662337675,0.17426702085792997,14.589890138431056,3.0,0.13043478260869565,0.34782608695652173
antlr4-hl-23-24-25_70_0337_9264_b7b8135f.pt,1.0,47.0,372.0,7.914893617021277,7.914893617021277,15.829787234042554,0.5082361015785861,0.4692290093800046,0.38086250285975753,0.04140652098508499,0.04371892704358885,0.032926494392415316,0.08198924731182795,0.1922043010752688,5.545454540413223,0.49054820415879025,0.8459357277882799,0.5128019323671495,0.24467515835584513,27.543244032421782,6.0,0.1276595744680851,0.5531914893617021
opennlp-hl-23-24-25_750_0209_2051_8c8ca187.pt,1.0,15.0,40.0,2.6666666666666665,2.6666666666666665,5.333333333333333,0.49,0.47333333333333333,0.34500000000000003,0.135,0.17249999999999993,0.0975,0.175,0.425,4.666666651111111,0.5612244897959183,0.8673469387755104,0.35714285714285715,0.07378335949764521,8.960392135662786,2.0,0.13333333333333333,0.2
commons-lang-hl-23-24-25_1695_0825_7775_57711847.pt,1.0,12.0,39.0,3.25,3.25,6.5,0.38247863247863245,0.4423076923076923,0.2884615384615385,0.12952005259697572,0.1545036160420776,0.10552268244575937,0.15384615384615385,0.4358974358974359,1.9999999966666666,0.5702479338842976,0.7685950413223139,0.3,0.15950413223140494,9.854101966249685,3.0,0.25,0.5
opennlp-hl-23-24-25_4699_0049_2045_f969ee4b.pt,1.0,21.0,94.0,4.476190476190476,4.476190476190476,8.952380952380953,0.42249240121580545,0.48328267477203646,0.28368794326241137,0.07831598008148481,0.09529198732458126,0.060208239022181975,0.10638297872340426,0.28191489361702127,2.4999999968749997,0.44749999999999995,0.8149999999999998,0.3052631578947369,0.13269078947368418,13.555446085178886,3.0,0.14285714285714285,0.3333333333333333
opennlp-hl-23-24-25_1478_0058_2075_d5e0d369.pt,1.0,24.0,98.0,4.083333333333333,4.083333333333333,8.166666666666666,0.41496598639455784,0.5025510204081632,0.3150510204081633,0.07621824239900041,0.0985006247396918,0.05908996251561849,0.12755102040816327,0.30612244897959184,4.166666659722222,0.6313799621928166,0.8582230623818525,0.3992094861660079,0.04365011170304176,13.44765983925162,3.0,0.125,0.125
commons-lang-hl-23-24-25_158_0455_7409_74789683.pt,0.0,7.0,17.0,2.4285714285714284,2.4285714285714284,4.857142857142857,0.35294117647058826,0.3865546218487395,0.18487394957983191,0.2110726643598616,0.22491349480968859,0.1591695501730104,0.20588235294117646,0.5588235294117647,1.3999999972000001,0.49999999999999994,0.6944444444444445,0.2500000000000001,0.036111111111111115,6.498446470439436,1.0,0.14285714285714285,0.2857142857142857
antlr4-hl-23-24-25_7009_0228_9379_933c4e0a.pt,0.0,16.0,53.0,3.3125,3.3125,6.625,0.5695754716981132,0.33372641509433965,0.4056603773584906,0.1854752580989676,0.11854752580989675,0.1269134923460306,0.27358490566037735,0.5377358490566038,7.249999981875,0.8311111111111111,0.8311111111111112,0.8523809523809524,0.7834920634920636,13.350650526157303,2.0,0.125,0.9375
opennlp-hl-23-24-25_1469_0114_2099_78b87dbc.pt,0.0,16.0,66.0,4.125,4.125,8.25,0.4678030303030303,0.36363636363636365,0.22632575757575757,0.1111111111111111,0.10101010101010101,0.07357667584940313,0.11363636363636363,0.3333333333333333,2.142857139795918,0.5600000000000002,0.7733333333333334,0.2571428571428572,0.0471957671957672,11.72311099736245,3.0,0.1875,0.25
opennlp-hl-23-24-25_761_0216_2088_d455e330.pt,1.0,25.0,101.0,4.04,4.04,8.08,0.41900990099009905,0.5069306930693069,0.32633663366336635,0.07577688461915498,0.09793157533575139,0.058376629742182135,0.12871287128712872,0.3069306930693069,4.333333326111111,0.6493055555555555,0.8663194444444445,0.4057971014492752,0.039804750402576486,13.556641306494338,3.0,0.12,0.12
commons-lang-hl-23-24-25_861_0026_7654_683f9e09.pt,1.0,11.0,26.0,2.3636363636363638,2.3636363636363638,4.7272727272727275,0.41258741258741255,0.5034965034965034,0.2622377622377623,0.14792899408284024,0.20710059171597636,0.1131656804733728,0.19230769230769232,0.46153846153846156,2.49999999375,0.51,0.8400000000000001,0.3222222222222221,0.045,7.066305514594292,2.0,0.18181818181818182,0.09090909090909091
opennlp-hl-23-24-25_3358_0400_2070_dab19af8.pt,0.0,11.0,25.0,2.272727272727273,2.272727272727273,4.545454545454546,0.43636363636363634,0.4509090909090909,0.2981818181818181,0.152,0.20959999999999998,0.11840000000000002,0.2,0.48,2.49999999375,0.41000000000000014,0.85,0.33333333333333326,0.06833333333333333,7.045041288157732,1.0,0.09090909090909091,0.18181818181818182
commons-lang-hl-23-24-25_1738_0438_7876_a224a39b.pt,0.0,9.0,26.0,2.888888888888889,2.888888888888889,5.777777777777778,0.4444444444444444,0.34188034188034183,0.1923076923076922,0.1893491124260355,0.16568047337278108,0.12426035502958581,0.17307692307692307,0.4807692307692308,1.7999999964,0.578125,0.71875,0.25892857142857145,0.07254464285714285,7.765393757777591,3.0,0.3333333333333333,0.3333333333333333
commons-lang-hl-23-24-25_1739_0592_8170_64bf0395.pt,0.0,7.0,18.0,2.5714285714285716,2.5714285714285716,5.142857142857143,0.3968253968253968,0.36507936507936506,0.11111111111111109,0.2160493827160494,0.20987654320987653,0.14969135802469138,0.19444444444444445,0.5,1.3999999972000001,0.6666666666666666,0.6666666666666666,0.2166666666666667,0.05555555555555555,6.267715410573116,1.0,0.14285714285714285,0.2857142857142857
antlr4-hl-23-24-25_1826_0123_9381_c251d2d7.pt,0.0,43.0,295.0,6.8604651162790695,6.8604651162790695,13.720930232558139,0.4528182893180922,0.4376823019314151,0.3283405597162002,0.04450445274346451,0.047377190462510765,0.03363975869003159,0.08813559322033898,0.19661016949152543,4.727272722975206,0.5884353741496599,0.8565759637188209,0.4779326364692219,0.30010219664069004,22.8894445586974,4.0,0.09302325581395349,0.6744186046511628
commons-lang-hl-23-24-25_1699_0862_7135_4d7e6ffa.pt,0.0,10.0,28.0,2.8,2.8,5.6,0.3928571428571429,0.37857142857142856,0.225,0.15051020408163263,0.16581632653061226,0.1167091836734694,0.16071428571428573,0.44642857142857145,1.7999999964,0.5185185185185185,0.7654320987654323,0.2361111111111111,0.07561728395061727,7.8891046284519195,3.0,0.3,0.4
opennlp-hl-23-24-25_4005_0120_2099_78b87dbc.pt,1.0,21.0,94.0,4.476190476190476,4.476190476190476,8.952380952380953,0.42249240121580545,0.48328267477203646,0.28368794326241137,0.07831598008148483,0.09529198732458126,0.06020823902218198,0.10638297872340426,0.28191489361702127,2.4999999968749997,0.44749999999999995,0.8149999999999998,0.3052631578947369,0.13269078947368423,13.555446085178886,3.0,0.14285714285714285,0.3333333333333333
db-jdo-hl-23-24-25_557_0016_1890_a4f02348.pt,1.0,11.0,23.0,2.090909090909091,2.090909090909091,4.181818181818182,0.4743083003952569,0.5059288537549407,0.3478260869565217,0.22873345935727785,0.23629489603024573,0.13610586011342152,0.21739130434782608,0.5434782608695652,3.3333333222222223,0.8700000000000001,0.8700000000000001,0.3555555555555555,0.01,7.130413589132155,2.0,0.18181818181818182,0.18181818181818182
db-jdo-hl-23-24-25_557_0072_1906_bfe71cba.pt,1.0,11.0,23.0,2.090909090909091,2.090909090909091,4.181818181818182,0.4743083003952569,0.5059288537549407,0.3478260869565217,0.22873345935727785,0.23629489603024573,0.13610586011342155,0.21739130434782608,0.5434782608695652,3.3333333222222223,0.8700000000000001,0.8700000000000001,0.35555555555555546,0.01,7.130413589132155,2.0,0.18181818181818182,0.18181818181818182
antlr4-hl-23-24-25_70_0060_9124_4a30b9a0.pt,1.0,47.0,372.0,7.914893617021277,7.914893617021277,15.829787234042554,0.5082361015785861,0.4692290093800046,0.38086250285975753,0.04140652098508499,0.04371892704358885,0.032926494392415316,0.08198924731182795,0.1922043010752688,5.545454540413223,0.49054820415879025,0.8459357277882799,0.5128019323671495,0.24467515835584513,27.543244032421782,6.0,0.1276595744680851,0.5531914893617021
commons-lang-hl-23-24-25_1766_0988_7658_270cd682.pt,0.0,8.0,22.0,2.75,2.75,5.5,0.4204545454545454,0.34090909090909094,0.19318181818181823,0.1983471074380165,0.1818181818181818,0.14049586776859505,0.20454545454545456,0.5227272727272727,1.7999999964,0.5306122448979591,0.6938775510204083,0.3333333333333334,0.1904761904761905,7.436491673103708,1.0,0.125,0.5
commons-lang-hl-23-24-25_265_0863_7135_4d7e6ffa.pt,0.0,5.0,12.0,2.4,2.4,4.8,0.2333333333333334,0.3,0.0833333333333334,0.23611111111111113,0.2638888888888889,0.2048611111111111,0.25,0.6666666666666666,1.1999999976,0.5,0.5,0.25,0.22916666666666669,5.548331477354788,1.0,0.2,0.8
opennlp-hl-23-24-25_3066_0245_2062_9dc0131b.pt,1.0,20.0,84.0,4.2,4.2,8.4,0.4166666666666667,0.4511904761904762,0.29107142857142854,0.08276643990929704,0.10175736961451247,0.0651218820861678,0.125,0.30357142857142855,3.2307692257988165,0.5429362880886427,0.8199445983379502,0.36842105263157915,0.03883246127013439,13.01952378498044,2.0,0.1,0.2
opennlp-hl-23-24-25_4005_0201_2090_6326e1b5.pt,1.0,21.0,94.0,4.476190476190476,4.476190476190476,8.952380952380953,0.42249240121580545,0.48328267477203646,0.28368794326241137,0.07831598008148483,0.09529198732458126,0.06020823902218198,0.10638297872340426,0.28191489361702127,2.4999999968749997,0.44749999999999995,0.8149999999999998,0.3052631578947369,0.13269078947368423,13.555446085178886,3.0,0.14285714285714285,0.3333333333333333
opennlp-hl-23-24-25_1447_0295_2065_6fde608c.pt,1.0,66.0,314.0,4.757575757575758,4.757575757575758,9.515151515151516,0.7031461107894229,0.34983593900791354,0.4601910828025478,0.11712442695444035,0.05444439936711431,0.06642257292385088,0.18152866242038215,0.4124203821656051,18.999999968333334,0.9410650887573966,0.9410650887573965,0.8288461538461537,0.6422078402366865,27.018607818202085,3.0,0.045454545454545456,0.7575757575757576
opennlp-hl-23-24-25_12_0105_2013_afedb2b5.pt,1.0,18.0,79.0,4.388888888888889,4.388888888888889,8.777777777777779,0.3959212376933896,0.4451476793248945,0.2714486638537271,0.08828713347219996,0.10078513058804679,0.06913956096779361,0.12658227848101267,0.3037974683544304,2.3529411737024217,0.4740484429065743,0.7854671280276816,0.3713235294117647,0.07115051903114188,13.118227774361024,2.0,0.1111111111111111,0.2777777777777778
antlr4-hl-23-24-25_7009_0348_9362_7d4cea92.pt,0.0,16.0,53.0,3.3125,3.3125,6.625,0.5695754716981132,0.33372641509433965,0.4056603773584906,0.1854752580989676,0.11854752580989675,0.1269134923460306,0.27358490566037735,0.5377358490566038,7.249999981875,0.8311111111111111,0.8311111111111112,0.8523809523809524,0.7834920634920636,13.350650526157303,2.0,0.125,0.9375
commons-lang-hl-23-24-25_265_0159_7380_3c92ada9.pt,0.0,5.0,12.0,2.4,2.4,4.8,0.2333333333333334,0.3,0.0833333333333334,0.23611111111111113,0.2638888888888889,0.2048611111111111,0.25,0.6666666666666666,1.1999999976,0.5,0.5,0.25,0.22916666666666669,5.548331477354788,1.0,0.2,0.8
opennlp-hl-23-24-25_1524_0446_2050_a43bf6d2.pt,0.0,4.0,10.0,2.5,2.5,5.0,0.1499999999999999,0.10000000000000009,0.07499999999999996,0.28,0.26,0.255,0.3,0.8,1.1999999976,0.22222222222222224,0.22222222222222224,0.3333333333333333,0.3333333333333333,5.707106781186548,1.0,0.25,1.0
commons-lang-hl-23-24-25_1644_0221_7889_35350e3e.pt,0.0,4.0,6.0,1.5,1.5,3.0,0.41666666666666663,0.25,0.125,0.3888888888888889,0.3333333333333333,0.2638888888888889,0.3333333333333333,0.8333333333333334,1.333333328888889,0.6666666666666666,0.6666666666666666,0.33333333333333326,0.16666666666666666,3.7071067811865475,1.0,0.25,0.5
